Año;Mes;País;Precio_Cu_USD_lb_x10000;Variación IPC;USD_CLP;Oil_Brent_USD;Oil_Brent_Euro;Variación IPC 12m
2018;Septiembre;Perú;;0,2;;;;1,8
2018;Octubre;Perú;;0,1;;;;2
2018;Noviembre;Perú;;0,1;;;;2
2018;Diciembre;Perú;;0,2;;;;2,1
2019;Enero;Perú;;0,1;;;;1,9
2019;Febrero;Perú;;0,1;;;;1,5
2019;Marzo;Perú;;0,7;;;;2,4
2019;Abril;Perú;;0,2;;;;2,6
2019;Mayo;Perú;;0,2;;;;2,4
2019;Junio;Perú;;-0,1;;;;1,9
2019;Julio;Perú;;0,2;;;;2
2019;Agosto;Perú;;0,1;;;;1,9
2019;Septiembre;Perú;;0;;;;1,8
2019;Octubre;Perú;;0,1;;;;1,8
2019;Noviembre;Perú;;0,1;;;;1,7
2019;Diciembre;Perú;;0,2;;;;1,8
2020;Enero;Perú;;0,1;;;;1,8
2020;Febrero;Perú;;0,1;;;;1,2
2020;Marzo;Perú;;0,7;;;;1,6
2020;Abril;Perú;;0,1;;;;1,6
2020;Mayo;Perú;;0,2;;;;1,9
2020;Junio;Perú;;-0,3;;;;1,4
2020;Julio;Perú;;0,5;;;;1,8
2020;Agosto;Perú;;-0,1;;;;1,7
2020;Septiembre;Perú;;0,1;;;;1,7
2020;Octubre;Perú;;0;;;;1,6
2020;Noviembre;Perú;;0,5;;;;1,9
2020;Diciembre;Perú;;0,1;;;;1,9
2021;Enero;Perú;;0,7;;;;2,5
2021;Febrero;Perú;;-0,1;;;;1,7
2021;Marzo;Perú;;0,8;;;;2,5
2021;Abril;Perú;;-0,1;;;;2,2
2021;Mayo;Perú;;0,3;;;;2,7
2021;Junio;Perú;;0,5;;;;2,8
2021;Julio;Perú;;1;;;;3,9
2021;Agosto;Perú;;1;;;;4,8
2018;Enero;Uruguay;;2,7;;;;6,67
2018;Febrero;Uruguay;;0,9;;;;7,07
2018;Marzo;Uruguay;;0,3;;;;6,65
2018;Abril;Uruguay;;0,1;;;;6,49
2018;Mayo;Uruguay;;0,8;;;;7,21
2018;Junio;Uruguay;;1;;;;8,11
2018;Julio;Uruguay;;0,6;;;;8,41
2018;Agosto;Uruguay;;0,7;;;;8,31
2018;Septiembre;Uruguay;;0,5;;;;8,26
2018;Octubre;Uruguay;;0,2;;;;8,01
2018;Noviembre;Uruguay;;0,4;;;;8,05
2018;Diciembre;Uruguay;;-0,4;;;;7,96
2019;Enero;Uruguay;;2,2;;;;7,39
2019;Febrero;Uruguay;;1;;;;7,49
2019;Marzo;Uruguay;;0,6;;;;7,78
2019;Abril;Uruguay;;0,4;;;;8,17
2019;Mayo;Uruguay;;0,4;;;;7,73
2019;Junio;Uruguay;;0,6;;;;7,36
2019;Julio;Uruguay;;0,8;;;;7,54
2019;Agosto;Uruguay;;0,9;;;;7,76
2019;Septiembre;Uruguay;;0,5;;;;7,78
2019;Octubre;Uruguay;;0,8;;;;8,34
2019;Noviembre;Uruguay;;0,4;;;;8,4
2019;Diciembre;Uruguay;;0;;;;8,79
2020;Enero;Uruguay;;2,1;;;;8,71
2020;Febrero;Uruguay;;0,6;;;;8,32
2020;Marzo;Uruguay;;1,3;;;;9,16
2020;Abril;Uruguay;;2;;;;10,86
2020;Mayo;Uruguay;;0,6;;;;11,05
2020;Junio;Uruguay;;0;;;;10,36
2020;Julio;Uruguay;;0,6;;;;10,13
2020;Agosto;Uruguay;;0,6;;;;9,79
2020;Septiembre;Uruguay;;0,6;;;;9,92
2020;Octubre;Uruguay;;0,6;;;;9,74
2020;Noviembre;Uruguay;;0,3;;;;9,59
2020;Diciembre;Uruguay;;-0,2;;;;9,41
2021;Enero;Uruguay;;1,6;;;;8,89
2021;Febrero;Uruguay;;0,8;;;;9,12
2021;Marzo;Uruguay;;0,6;;;;8,34
2021;Abril;Uruguay;;0,5;;;;6,76
2021;Mayo;Uruguay;;0,5;;;;6,64
2021;Junio;Uruguay;;0,7;;;;7,33
2021;Julio;Uruguay;;0,5;;;;7,3
2021;Agosto;Uruguay;;0,9;;;;7,59
2018;Enero;EEUU;247,867;0,5;;;;2,1
2018;Febrero;EEUU;248,991;0,5;;;;2,2
2018;Marzo;EEUU;249,554;0,2;;;;2,4
2018;Abril;EEUU;250,546;0,4;;;;2,5
2018;Mayo;EEUU;251,588;0,4;;;;2,8
2018;Junio;EEUU;251,989;0,2;;;;2,9
2018;Julio;EEUU;252,006;0;;;;2,9
2018;Agosto;EEUU;252,146;0,1;;;;2,7
2018;Septiembre;EEUU;252,439;0,1;;;;2,3
2018;Octubre;EEUU;252,885;0,2;;;;2,5
2018;Noviembre;EEUU;252,038;-0,3;;;;2,2
2018;Diciembre;EEUU;251,233;-0,3;;;;1,9
2019;Enero;EEUU;251,712;0,2;;;;1,6
2019;Febrero;EEUU;252,776;0,4;;;;1,5
2019;Marzo;EEUU;254,202;0,6;;;;1,9
2019;Abril;EEUU;255,548;0,5;;;;2
2019;Mayo;EEUU;256,092;0,2;;;;1,8
2019;Junio;EEUU;256,143;0;;;;1,6
2019;Julio;EEUU;256,571;0,2;;;;1,8
2019;Agosto;EEUU;256,558;0;;;;1,7
2019;Septiembre;EEUU;256,759;0,1;;;;1,7
2019;Octubre;EEUU;257,346;0,2;;;;1,8
2019;Noviembre;EEUU;257,208;-0,1;;;;2,1
